Year,Author,Title,Others,Abstract,Link
2022,"Tin-Yu Wu, Chi-Jung Hsieh, Kuang-Sung Wu, Fu Jie Tey, Yi-Kai Chen, Jye Yi Ho",A Genetic Algorithm to Optimize Cargo Stability in Container Transportation,"IEEE 11th Global Conference on Consumer Electronics(IEEE GCCE 2022),Osaka,Japan, October 18-21","In the era of the global village, frequent cross-border trade in goods has made container transportation a significant part in delivery of cargo. However, rollover accidents of container trucks often occur because of tall truck height, improper cargo stowage or crooked roads. Therefore, how to find the optimal center of gravity (CG) of the packed cargo remains an issue that the transportation industry should not neglect. To optimize cargo stability and reduce the incidence of rollovers, this paper proposes a genetic algorithm that scores the cargo stacking process to find the best CG of the cargo based on the CG of the vehicle. According to the deviation angle and the point closest to the best CG, we can Figure out the optimal cargo stacking method.",https://ieeexplore.ieee.org/document/10014117
2022,"謝奇容,林聖博,吳庭育",Based on Deep Q-learning for Optimized Routing of Underwater Acoustic Communication,"The 17th Workshop on Wireless, Ad-Hoc and Sensor Networks(WASN 2022),Taichung,Taiwan,August 26-27",隨著人類海上活動的增加，水下通訊技術成為備受關注的議題之一。與陸地通訊相比，水下通訊面對各種環境因素的影響相當大，例如水壓、鹽分、海洋內波等，尤其是海洋內波(Ocean Internal Wave)的影響甚大。有鑑於此，為了提升在複雜的海洋環境中之通訊路由效率與傳輸服務的可靠性，本研究提出基於深度強化學習(Deep Q-learning)尋找水下感測器節點間最佳路由方式，找出多條路由路徑，並與DBR與Dijkstra兩種方法比較。經實驗結果驗證，本論文能有像改善水下無線感測器網路的通訊延遲、封包遺失率和節點能量損耗等問題，還能確保水下通訊的穩定性與服務質量。,
